PEARLL Teacher Professional Development Survey Pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Respondent ID,Collector ID,Start Date,End Date,IP Address,What language(s) do you teach? Please select all that apply.,,,,,,,,,,What is your native language? Please select all that apply.,,,,,,,,,,At what level(s) do you teach? Please select all that apply.,,,,,,,,,What state do you live in?,,"Do you hold a US state certification, license, or teaching credential to teach a world language?",How many years of independent classroom teaching experience do you have?,"Are you a program leader (curriculum coordinator/director, department head/chair, specialist, etc.)?","If you teach K-12 classes, which best describes the school in which you teach?","If you teach K-12 classes, which of the following best describes the school in which you teach?",What is the highest degree that you've earned?,In what discipline or subject area is your highest degree?,,,,,,,,,,,,,,,,In what country did you attend K-12 school/s?,In what country did you complete your highest degree?,"If you have received higher education from an institution outside of the US, are you qualified to teach in a K-12 setting in that country?",What is your cultural or ethnic background? Please select all that apply.,,,,,,,Which age group do you belong to?,What is your gender?,Please indicate the extent to which you are familiar with the TELL (Teacher Effectiveness for Language Learning) Framework.	
11074536954,246623118,10/17/2019 08:36:17 PM,10/17/2019 08:48:13 PM,163.23.70.188,,,,,,Mandarin,,,,English,,English,,,,,,,,Cantonese,,Elementary (K-5),Middle School (6-8),High School (9-12),College or University,,,,,NJ New Jersey,,I am in the process of becoming certified.,1-3 years,No,Public School,Suburban,Bachelor's (4-year) degree,,,,,,,,,,English language arts or literature,,Foreign language or literature (other than English),,,,,United States,United States,Does not apply,,,,,,,Asian (Chinese),20-29 years,Female,Somewhat familiar
11074221115,246623118,10/17/2019 05:43:32 PM,10/17/2019 06:11:51 PM,67.217.118.62,,,,,,,,Russian,,,,,,,,,,Russian,,,,,,,College or University,,,,,VT Vermont,,"No, and I do not need to become certified for my career path.",4-7 years,No,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Master's degree,,,,,,,,,,,,Foreign language or literature (other than English),,,,,Outside of the United States,United States,Does not apply,,,,,,White,,40-49 years,Female,Not at all familiar
11073786724,246623118,10/17/2019 02:51:29 PM,10/17/2019 02:59:47 PM,96.5.110.20,,,,,,,,Russian,,,,,,,,,,Russian,,,,Elementary (K-5),,,,,,,,MD Maryland,,I am in the process of becoming certified.,1-3 years,No,Public School,Suburban,Master's degree,,,,,,,,,,,,Foreign language or literature (other than English),,,,,Outside of the United States,United States,Does not apply,,,,,,White,,50-59 years,Male,Not at all familiar
11073741619,246623118,10/17/2019 02:35:20 PM,10/17/2019 03:20:59 PM,45.52.218.14,,,,,,,,,,Korean,,,,,,,,,,Korean,,Elementary (K-5),Middle School (6-8),High School (9-12),,Adult (Continuing Education),,,,OR Oregon,,"No, but I hold a teaching certification in content areas other than world languages.",15-25 years,Yes,Public School,Suburban,Bachelor's (4-year) degree,,,,,,,Elementary education,,,,,,,,,,Combination of the United States and outside of the United States,United States,Does not apply,,,,,,,Asian,50-59 years,Female,Very familiar
11073224578,246623118,10/17/2019 11:36:58 AM,10/17/2019 11:43:08 AM,98.121.234.115,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,,Elementary (K-5),,,,,,,,NC North Carolina,,"Not yet, but I plan to become certified.",Less than one year,No,Private School,Suburban,Master's degree,,,,,,,,,,,,,,,,Law,Outside of the United States,Outside of the United States,Yes,,,,,,,Asian,30-39 years,Female,Somewhat familiar
11072722203,246623118,10/17/2019 08:47:19 AM,10/17/2019 09:31:51 AM,40.130.117.34,Arabic,,,,,,,,,,Arabic,,,,,,,,,,,Elementary (K-5),,,,,,,,MI Michigan,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",1-3 years,No,Private School,Urban,Master's degree,,,,,,,,,,,,Foreign language or literature (other than English),,,,,Outside of the United States,Combination of the United States and outside of the United States,Yes,,,,Middle Eastern or North African,,,,50-59 years,Female,Very familiar
11072634122,246623118,10/17/2019 08:09:09 AM,10/17/2019 08:44:34 AM,67.191.221.164,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,Pre-School,Elementary (K-5),,,,Adult (Continuing Education),,,,GA Georgia,,"Not yet, but I plan to become certified.",8-15 years,No,Private School,Urban,Doctoral degree,,,,,,,,,,,,Foreign language or literature (other than English),,,,,Outside of the United States,Outside of the United States,Yes,,,,,,,Asian,40-49 years,Female,Somewhat familiar
11072125437,246623118,10/17/2019 03:04:23 AM,10/17/2019 03:21:04 AM,67.81.141.51,,,,,,,,,,Urdu,,,,,,,,,,Urdu,,,,,,Adult (Continuing Education),,,,NY New York,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",I do not yet have independent classroom teaching experience.,No,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Associate's or vocational (2-year) degree,,,,Economics,,,,,,,,,,,,,Outside of the United States,Outside of the United States,Yes,,,,,,,Asian,50-59 years,Male,Somewhat familiar
11072047254,246623118,10/17/2019 02:00:32 AM,10/17/2019 02:03:17 AM,69.254.141.250,Arabic,,,,,,,,,,Arabic,,,,,,,,,,,,,High School (9-12),College or University,Adult (Continuing Education),,,,NM New Mexico,,"It would be helpful for my career path, but I do not currently have plans to become certified.",8-15 years,Yes,Private School,Urban,Doctoral degree,,Computer science,,,,,,,"A STEM field (science, technology, engineering, or math)",,,,,,,,United States,United States,Does not apply,,,,Middle Eastern or North African,,White,,40-49 years,Female,Somewhat familiar
11071806614,246623118,10/16/2019 10:33:26 PM,10/16/2019 11:04:04 PM,88.177.31.47,,French,,,,,Portuguese,,Spanish,ESL,,,,,,,Portuguese,,,,,,,,,Adult (Continuing Education),,,,,France,I am in the process of becoming certified.,8-15 years,No,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Master's degree,,,,,,,,,,,TESOL or bilingual education,,,,,,Combination of the United States and outside of the United States,United States,Does not apply,,,Hispanic or Latino/a,,,White,,30-39 years,Female,Somewhat familiar
11071703023,246623118,10/16/2019 09:21:57 PM,10/16/2019 10:06:57 PM,69.203.10.204,,,,,,Mandarin,,,,,,English,,,,Mandarin,,,,,,,,High School (9-12),,,,I am a student and am not yet teaching.,,NY New York,,I am in the process of becoming certified.,Less than one year,No,Public School,I am not currently a classroom teacher.,Bachelor's (4-year) degree,,,,,,,,Secondary education,,,,Foreign language or literature (other than English),,,,,United States,United States,Does not apply,,,,,,,Asian,20-29 years,Female,Very familiar
11071618210,246623118,10/16/2019 08:30:56 PM,10/16/2019 08:48:18 PM,71.233.227.173,,,,,,,,,,Turkish ,,,,,,,,,,Turkish,,Elementary (K-5),,,,,,,,MA Massachusetts,,I am in the process of becoming certified.,1-3 years,No,Private School,I am not currently a classroom teacher.,Bachelor's (4-year) degree,,,,,Education,,,,,,,,,,,,Outside of the United States,Outside of the United States,Yes,,,,Middle Eastern or North African,,,,20-29 years,Female,Somewhat familiar
11071521112,246623118,10/16/2019 07:32:16 PM,10/16/2019 07:38:02 PM,100.16.95.190,,,German,,,,,Russian,Spanish,,,English,,,,,,,,,,,,,College or University,Adult (Continuing Education),,,,MD Maryland,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",26 years or more,No,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Doctoral degree,,,,,Education,,,,,,,,,,,,United States,United States,Does not apply,,,,,,,european,60-69 years,Prefer not to specify,Not at all familiar
11071346335,246623118,10/16/2019 06:00:55 PM,10/16/2019 06:20:46 PM,24.189.50.228,Arabic,French,,,,,,,,,Arabic,,French,,,,,,,,,,Middle School (6-8),High School (9-12),College or University,,,,,NY New York,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",15-25 years,No,Public School,Suburban,Master's degree,,,,,Education,,,,,,TESOL or bilingual education,Foreign language or literature (other than English),,,,,Outside of the United States,United States,Does not apply,,,,Middle Eastern or North African,,,,50-59 years,Male,Somewhat familiar
11071190675,246623118,10/16/2019 04:48:28 PM,10/16/2019 05:01:08 PM,152.157.123.218,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,,Elementary (K-5),,,,,,,,OR Oregon,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",1-3 years,No,Public School,Rural,Master's degree,,,,,Education,,,,,,,,,,,,Outside of the United States,United States,Yes,,,,,,,Asian,30-39 years,Female,Very familiar
11071051468,246623118,10/16/2019 03:59:59 PM,10/16/2019 04:35:21 PM,98.221.121.58,,,,,,,,,,Hindi ,,,,,,,,,,Hindi,,Elementary (K-5),Middle School (6-8),High School (9-12),,,,,,NJ New Jersey,,"Not yet, but I plan to become certified.",1-3 years,No,,,Master's degree,,,,,,,,,,English language arts or literature,,,,,,,Outside of the United States,Outside of the United States,Yes,,,,,,,Asian,40-49 years,Female,Somewhat familiar
11070793161,246623118,10/16/2019 02:15:39 PM,10/16/2019 03:00:37 PM,107.197.69.30,Arabic,,,,,,,,,,Arabic,,,,,,,,,,,,,,College or University,,,,,CA California,,"No, but I hold a teaching certification in content areas other than world languages.",I do not yet have independent classroom teaching experience.,No,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Bachelor's (4-year) degree,,,,,,,,,,,,Foreign language or literature (other than English),,,,,Outside of the United States,Outside of the United States,Yes,,,,Middle Eastern or North African,,,,40-49 years,Female,Somewhat familiar
11070582369,246623118,10/16/2019 01:19:07 PM,10/16/2019 01:24:32 PM,206.78.148.254,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,,Elementary (K-5),Middle School (6-8),,,,,,,CA California,,"Not yet, but I plan to become certified.",15-25 years,Yes,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Associate's or vocational (2-year) degree,,,,,Education,,Elementary education,,,,,,,,,Music and movemnet,Outside of the United States,Outside of the United States,Yes,,,,,,,Asia,40-49 years,Female,Not at all familiar
11070511584,246623118,10/16/2019 12:58:36 PM,10/16/2019 01:40:20 PM,66.27.98.203,Arabic,French,,,,,,,,,Arabic,,,,,,,,,,Pre-School,Elementary (K-5),Middle School (6-8),High School (9-12),College or University,Adult (Continuing Education),,,,CA California,,"It would be helpful for my career path, but I do not currently have plans to become certified.",4-7 years,No,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Master's degree,,,,,,,,,,,,,,,,Food engineering,Outside of the United States,Outside of the United States,Does not apply,,,,Middle Eastern or North African,,White,,50-59 years,Female,Somewhat familiar
11070383109,246623118,10/16/2019 12:15:27 PM,10/16/2019 12:22:46 PM,138.87.133.15,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,,,Middle School (6-8),High School (9-12),College or University,,,,,IL Illinois,,"Not yet, but I plan to become certified.",4-7 years,Yes,Public School,Urban,Doctoral degree,,,,,,,,,,,,,,,,Political Science,Outside of the United States,Outside of the United States,Yes,,,,,,,Asian,30-39 years,Female,Somewhat familiar
11070378919,246623118,10/16/2019 02:03:06 AM,10/16/2019 12:39:29 PM,98.185.167.83,,,,,,,,,,Korean,,,,,,,,,,Korean,,Elementary (K-5),Middle School (6-8),,,Adult (Continuing Education),,,,CA California,,I am in the process of becoming certified.,1-3 years,Yes,Public School,Suburban,Master's degree,,,,,,,,,,,TESOL or bilingual education,,,Linguistics or applied linguistics,,,United States,United States,Does not apply,,,,,Native Hawaiian or other Pacific Islander,,,30-39 years,Female,Somewhat familiar
11070195330,246623118,10/16/2019 11:04:51 AM,10/16/2019 11:21:50 AM,74.207.71.223,Arabic,,,,,,,,,English ,,,,,,,,,,Persian ,,,,,College or University,,,,,MO Missouri,,"No, and I do not need to become certified for my career path.",15-25 years,Yes,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Doctoral degree,,,,,Education,,,,,,TESOL or bilingual education,,,,,,Outside of the United States,United States,No,,,,,,White,,30-39 years,Male,Very familiar
11069079884,246623118,10/16/2019 02:42:26 AM,10/16/2019 02:55:00 AM,66.27.98.203,Arabic,French,,,,,,,,,Arabic,,,,,,,,,,Pre-School,Elementary (K-5),Middle School (6-8),High School (9-12),College or University,Adult (Continuing Education),,,,CA California,,"It would be helpful for my career path, but I do not currently have plans to become certified.",8-15 years,No,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Master's degree,,,,,,,,,,,,,,,,Food Engineering ,Outside of the United States,Outside of the United States,Does not apply,,,,Middle Eastern or North African,,White,,50-59 years,Female,Not at all familiar
11068893740,246623118,10/16/2019 12:01:12 AM,10/16/2019 01:06:54 AM,134.228.154.115,Arabic,,,,,,,,,,Arabic,English,,,,,,,,,Pre-School,Elementary (K-5),Middle School (6-8),High School (9-12),,,,,I am the program leader and do not actively teach.,OH Ohio,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",15-25 years,Yes,Public School,Urban,Master's degree,,,Curriculum and instruction,,,,,,,,,,,,,,Outside of the United States,United States,Does not apply,,,,Middle Eastern or North African,,,,50-59 years,Female,Very familiar
11068855628,246623118,10/15/2019 11:33:02 PM,10/15/2019 11:48:01 PM,71.93.99.119,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,,Elementary (K-5),,,,,,,,CA California,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",4-7 years,No,Public School,Suburban,Bachelor's (4-year) degree,,,,,Education,,,,,,,,,,,Child Development,United States,United States,Does not apply,,,,,,,Asian,20-29 years,Female,Very familiar
11068841567,246623118,10/15/2019 11:22:27 PM,10/15/2019 11:31:01 PM,172.58.142.153,Arabic,,,,,,,,,,Arabic,,,,,,,,,,,,,High School (9-12),,,,,,MI Michigan,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",4-7 years,No,Public School,,Bachelor's (4-year) degree,,,,,,,,,,,,,,,,Arabic Language and English Translation,Outside of the United States,Outside of the United States,Yes,,,,Middle Eastern or North African,,,,30-39 years,Male,Somewhat familiar
11068831796,246623118,10/15/2019 11:15:31 PM,10/15/2019 11:58:25 PM,73.44.121.126,,,,,,,,,,Swahili,,,,,,,,,,Swahili ,,,,,College or University,,,,,IL Illinois,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",8-15 years,Yes,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Doctoral degree,,,,,,Educational leadership or administration,,,,,,,,,,,Outside of the United States,United States,Does not apply,,Black or African American,,,,,,30-39 years,Male,Not at all familiar
11068723999,246623118,10/15/2019 09:10:40 PM,10/16/2019 07:57:58 AM,24.60.116.162,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,,Elementary (K-5),,High School (9-12),,,,,,CT Connecticut,,I am in the process of becoming certified.,4-7 years,No,Private School,Rural,Bachelor's (4-year) degree,,Computer science,,,,,,,,,,,,,,,United States,United States,Yes,,,,,Native Hawaiian or other Pacific Islander,,,50-59 years,Female,Not at all familiar
11068718700,246623118,10/15/2019 09:59:01 PM,10/15/2019 10:12:35 PM,98.233.232.238,Arabic,,,,,,,,,,Arabic,,,,,,,,,,,Elementary (K-5),Middle School (6-8),High School (9-12),College or University,,,,,MD Maryland,,"No, and I do not need to become certified for my career path.",I do not yet have independent classroom teaching experience.,Yes,Private School,Suburban,Master's degree,,,,Economics,,Educational leadership or administration,,,,,,,,,,,,,,,,,,,,,50-59 years,Female,Somewhat familiar
11068679483,246623118,10/15/2019 09:36:44 PM,10/15/2019 09:39:09 PM,8.40.68.218,,,,,,,,,,Farsi,,,,,,,,,,Farsi ,,,,,College or University,Adult (Continuing Education),,,,OH Ohio,,"It would be helpful for my career path, but I do not currently have plans to become certified.",4-7 years,No,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Master's degree,,,,,,,,,,,,,,Linguistics or applied linguistics,,,Outside of the United States,United States,Does not apply,,,,,,White,,40-49 years,Female,Not at all familiar
11068674582,246623118,10/15/2019 09:31:40 PM,10/15/2019 10:04:10 PM,68.175.2.177,,,,,,,,,,English.,,English,,,,,,,,,,,Middle School (6-8),,,,,,,NY New York,,"Not yet, but I plan to become certified.",4-7 years,No,Public School,Urban,Master's degree,,,,,Education,,,,,,,,,,,,Outside of the United States,Outside of the United States,Yes,,,,,,,Asian,40-49 years,Female,Not at all familiar
11068634963,246623118,10/15/2019 09:10:52 PM,10/15/2019 09:14:24 PM,24.90.9.247,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,,,,,,,,I am a student and am not yet teaching.,,NY New York,,"Not yet, but I plan to become certified.",Less than one year,No,I do not currently teach in a K-12 school.,Urban,Bachelor's (4-year) degree,,Computer science,,,,,,,,,,,,,,,Combination of the United States and outside of the United States,United States,Does not apply,,,,,,,Asian,20-29 years,Female,Very familiar
11068615850,246623118,10/15/2019 08:59:57 PM,10/15/2019 09:07:38 PM,69.122.26.241,,,,,,,,,,Hindi,,,,,,,,,,Gujarati ,Pre-School,,,,,,,,,NJ New Jersey,,"No, but I hold a teaching certification in content areas other than world languages.",15-25 years,No,Public School,Urban,Master's degree,,,,,,,,,,English language arts or literature,,,,,,,Outside of the United States,Outside of the United States,Yes,,,,,,,Indian Asian ,50-59 years,Female,Not at all familiar
11068609292,246623118,10/15/2019 08:58:17 PM,10/15/2019 09:04:55 PM,73.189.88.126,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,,Elementary (K-5),,,,,,,,CA California,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",1-3 years,No,Public School,Urban,Master's degree,,,,,,,,,,,TESOL or bilingual education,,,,,,Outside of the United States,United States,Does not apply,,,,,,,Chinese,20-29 years,Female,Very familiar
11068546337,246623118,10/15/2019 08:22:20 PM,10/15/2019 09:12:11 PM,76.89.235.251,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,Pre-School,Elementary (K-5),,,,,,,,CA California,,"Not yet, but I plan to become certified.",4-7 years,No,Private School,Urban,Bachelor's (4-year) degree,,,,,,,,,,,,Foreign language or literature (other than English),,,,,Outside of the United States,Outside of the United States,No,,,,Middle Eastern or North African,,,,30-39 years,Female,Somewhat familiar
11068492157,246623118,10/15/2019 07:51:29 PM,10/15/2019 08:07:53 PM,68.41.102.150,Arabic,,,,,,,,,,Arabic,,,,,,,,,,,,Middle School (6-8),High School (9-12),,,,,,MI Michigan,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",1-3 years,No,Public School,Suburban,Bachelor's (4-year) degree,,,,,Education,,,,,English language arts or literature,,,,,,,Outside of the United States,Outside of the United States,Yes,,,,,,White,,30-39 years,Female,Somewhat familiar
11068443274,246623118,10/15/2019 07:24:51 PM,10/15/2019 08:01:10 PM,107.207.166.123,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,,,,High School (9-12),,,,,,IN Indiana,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",15-25 years,No,Private School,Suburban,Master's degree,,,,,,,,,,,TESOL or bilingual education,,,,,,Outside of the United States,United States,Yes,,,,,,,Asian,40-49 years,Female,Not at all familiar
11068440888,246623118,10/15/2019 07:20:59 PM,10/15/2019 09:01:39 PM,104.139.108.189,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,,,Middle School (6-8),,,,,,,NC North Carolina,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",4-7 years,No,Public School,Urban,Bachelor's (4-year) degree,Business,,,,,,,,,,,,,,,,Outside of the United States,Outside of the United States,Does not apply,,,,,,,Asian,50-59 years,Female,Not at all familiar
11068427057,246623118,10/15/2019 07:14:08 PM,10/15/2019 08:41:12 PM,98.207.114.23,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,,,,High School (9-12),College or University,Adult (Continuing Education),,,,CA California,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",26 years or more,Yes,Private School,Urban,Master's degree,,,Curriculum and instruction,,Education,,,,,,,,,,,,Outside of the United States,Outside of the United States,Yes,,,,,,,Asian,40-49 years,Female,Very familiar
11068419424,246623118,10/15/2019 06:57:59 PM,10/15/2019 08:19:29 PM,101.87.42.51,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,,,,High School (9-12),,,,,,NJ New Jersey,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",4-7 years,No,Private School,Urban,Master's degree,,,,,,,,,,,TESOL or bilingual education,,,,,,United States,United States,Yes,,,,,,,Asian,30-39 years,Female,Somewhat familiar
11068407295,246623118,10/15/2019 07:05:37 PM,10/16/2019 05:53:12 AM,24.45.224.228,,,,,,,,,,Korean,,English,,,,,,,,Korean,,Elementary (K-5),,,,,,,,NY New York,,I am in the process of becoming certified.,4-7 years,Yes,Private School,Urban,Master's degree,,,,,,,,,,,,,,,,law,Outside of the United States,United States,Yes,,,,,,,korean,40-49 years,Female,Very familiar
11068387317,246623118,10/15/2019 06:55:00 PM,10/15/2019 07:36:39 PM,67.243.218.249,,,German,,,,,Russian,,ESL,,,,,,,,Russian,,Kazahk ,,Elementary (K-5),,High School (9-12),,Adult (Continuing Education),,,,NY New York,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",26 years or more,No,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Master's degree,,,,,Education,,,,,,,Foreign language or literature (other than English),,,,,Outside of the United States,Outside of the United States,Yes,,,,,,White,,60-69 years,Female,Not at all familiar
11068374655,246623118,10/15/2019 06:44:51 PM,10/15/2019 07:50:59 PM,159.191.139.254,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,,Elementary (K-5),,,,,,,,OR Oregon,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",26 years or more,No,Public School,Suburban,Master's degree,,,,,Education,,,,,,,,,,,,Outside of the United States,United States,Yes,,,,,,,Asian,50-59 years,Female,Very familiar
