PEARLL Teacher Professional Development Survey Pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Respondent ID,Collector ID,Start Date,End Date,IP Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,PF1a_Contributes,PF1a_Confidence,PF1b_Contributes,PF1b_Confidence,PF1c_Contributes,PF1c_Confidence,PF1d_Contributes,PF1d_Confidence,PF1e_Contributes,PF1e_Confidence,PF2a_Contributes,PF2a_Confidence,PF2b_Contributes,PF2b_Confidence,PF2c_Contributes,PF2c_Confidence,PF2d_Contributes,PF2d_Confidence,PF2e_Contributes,PF2e_Confidence,PF3a_Contributes,PF3a_Confidence,PF3b_Contributes,PF3b_Confidence,PF3c_Contributes,PF3c_Confidence,PF3d_Contributes,PF3d_Confidence,PF3e_Contributes,PF3e_Confidence,PF4a_Contributes,PF4a_Confidence,PF4b_Contributes,PF4b_Confidence,PF5a_Contributes,PF5a_Confidence,PF5b_Contributes,PF5b_Confidence,PF5c_Contributes,PF5c_Confidence
11074221115,246623118,10/17/2019 05:43:32 PM,10/17/2019 06:11:51 PM,67.217.118.62,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident
11073786724,246623118,10/17/2019 02:51:29 PM,10/17/2019 02:59:47 PM,96.5.110.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11073741619,246623118,10/17/2019 02:35:20 PM,10/17/2019 03:20:59 PM,45.52.218.14,Agree,Neutral,Agree,Confident,Agree,Neutral,Strongly Agree,Confident,Agree,Neutral,Agree,Neutral,Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Agree,Confident,Agree,Neutral,Agree,Neutral,Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Agree,Neutral,Strongly Agree,Confident,Strongly Agree,Confident,Agree,Neutral
11073224578,246623118,10/17/2019 11:36:58 AM,10/17/2019 11:43:08 AM,98.121.234.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11072722203,246623118,10/17/2019 08:47:19 AM,10/17/2019 09:31:51 AM,40.130.117.34,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident
11072634122,246623118,10/17/2019 08:09:09 AM,10/17/2019 08:44:34 AM,67.191.221.164,Agree,Neutral,Agree,Somewhat confident,Agree,Confident,Agree,Confident,Agree,Somewhat confident,Agree,Confident,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Confident,Agree,Confident,Agree,Neutral,Agree,Confident,Agree,Neutral,Agree,Confident,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Confident,Agree,Confident
11072125437,246623118,10/17/2019 03:04:23 AM,10/17/2019 03:21:04 AM,67.81.141.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11072047254,246623118,10/17/2019 02:00:32 AM,10/17/2019 02:03:17 AM,69.254.141.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11071806614,246623118,10/16/2019 10:33:26 PM,10/16/2019 11:04:04 PM,88.177.31.47,Disagree,,Disagree,,Disagree,,Neutral,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Disagree,,Disagree,,Disagree,,Agree,,Neutral,,Agree,,Disagree,,Disagree,,Disagree,,Strongly Disagree,,Neutral,
11071703023,246623118,10/16/2019 09:21:57 PM,10/16/2019 10:06:57 PM,69.203.10.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11071618210,246623118,10/16/2019 08:30:56 PM,10/16/2019 08:48:18 PM,71.233.227.173,Agree,,Agree,,Agree,,Agree,,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,
11071521112,246623118,10/16/2019 07:32:16 PM,10/16/2019 07:38:02 PM,100.16.95.190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11071346335,246623118,10/16/2019 06:00:55 PM,10/16/2019 06:20:46 PM,24.189.50.228,Strongly Agree,Confident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11071190675,246623118,10/16/2019 04:48:28 PM,10/16/2019 05:01:08 PM,152.157.123.218,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,,Agree,Confident,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral
11071051468,246623118,10/16/2019 03:59:59 PM,10/16/2019 04:35:21 PM,98.221.121.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11070793161,246623118,10/16/2019 02:15:39 PM,10/16/2019 03:00:37 PM,107.197.69.30,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,
11070582369,246623118,10/16/2019 01:19:07 PM,10/16/2019 01:24:32 PM,206.78.148.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11070511584,246623118,10/16/2019 12:58:36 PM,10/16/2019 01:40:20 PM,66.27.98.203,Agree,Confident,Strongly Agree,Very Confident,Neutral,Neutral,Strongly Agree,Confident,I'm not sure what this means.,I'm not sure what this means.,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Very Confident,I'm not sure what this means.,I'm not sure what this means.,Strongly Agree,Very Confident,Disagree,Very Confident,Agree,Confident
11070383109,246623118,10/16/2019 12:15:27 PM,10/16/2019 12:22:46 PM,138.87.133.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11070378919,246623118,10/16/2019 02:03:06 AM,10/16/2019 12:39:29 PM,98.185.167.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11070195330,246623118,10/16/2019 11:04:51 AM,10/16/2019 11:21:50 AM,74.207.71.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11069079884,246623118,10/16/2019 02:42:26 AM,10/16/2019 02:55:00 AM,66.27.98.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068893740,246623118,10/16/2019 12:01:12 AM,10/16/2019 01:06:54 AM,134.228.154.115,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Very Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident
11068855628,246623118,10/15/2019 11:33:02 PM,10/15/2019 11:48:01 PM,71.93.99.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068841567,246623118,10/15/2019 11:22:27 PM,10/15/2019 11:31:01 PM,172.58.142.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068831796,246623118,10/15/2019 11:15:31 PM,10/15/2019 11:58:25 PM,73.44.121.126,Agree,Confident,Agree,Neutral,Agree,Neutral,Agree,Confident,Agree,Neutral,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Agree,Neutral,Agree,Confident,Agree,Neutral,Agree,Confident,Agree,Confident,Agree,Neutral,Agree,Confident,Agree,Confident,Agree,Confident
11068723999,246623118,10/15/2019 09:10:40 PM,10/16/2019 07:57:58 AM,24.60.116.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068718700,246623118,10/15/2019 09:59:01 PM,10/15/2019 10:12:35 PM,98.233.232.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068679483,246623118,10/15/2019 09:36:44 PM,10/15/2019 09:39:09 PM,8.40.68.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068674582,246623118,10/15/2019 09:31:40 PM,10/15/2019 10:04:10 PM,68.175.2.177,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Confident
11068634963,246623118,10/15/2019 09:10:52 PM,10/15/2019 09:14:24 PM,24.90.9.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068615850,246623118,10/15/2019 08:59:57 PM,10/15/2019 09:07:38 PM,69.122.26.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068609292,246623118,10/15/2019 08:58:17 PM,10/15/2019 09:04:55 PM,73.189.88.126,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident
11068546337,246623118,10/15/2019 08:22:20 PM,10/15/2019 09:12:11 PM,76.89.235.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068492157,246623118,10/15/2019 07:51:29 PM,10/15/2019 08:07:53 PM,68.41.102.150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068443274,246623118,10/15/2019 07:24:51 PM,10/15/2019 08:01:10 PM,107.207.166.123,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Very Confident,Agree,Confident,Agree,Confident,Neutral,Neutral,Strongly Agree,Very Confident,I'm not sure what this means.,I'm not sure what this means.,Disagree,Somewhat confident,Agree,Confident,Agree,Confident,Agree,Confident
11068440888,246623118,10/15/2019 07:20:59 PM,10/15/2019 09:01:39 PM,104.139.108.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068427057,246623118,10/15/2019 07:14:08 PM,10/15/2019 08:41:12 PM,98.207.114.23,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Agree,Very Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Very Confident
11068419424,246623118,10/15/2019 06:57:59 PM,10/15/2019 08:19:29 PM,101.87.42.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068407295,246623118,10/15/2019 07:05:37 PM,10/16/2019 05:53:12 AM,24.45.224.228,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Confident,Neutral,Neutral,Agree,Confident,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Confident,Agree,Confident,Neutral,Confident,Strongly Agree,Confident,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Confident
11068387317,246623118,10/15/2019 06:55:00 PM,10/15/2019 07:36:39 PM,67.243.218.249,Strongly Agree,,Neutral,,Neutral,,Agree,,Neutral,,Neutral,,Neutral,,Neutral,,Neutral,,Neutral,,Neutral,,Neutral,,Neutral,,Disagree,,Neutral,,Neutral,,Neutral,,Neutral,,Agree,,Strongly Agree,
11068374655,246623118,10/15/2019 06:44:51 PM,10/15/2019 07:50:59 PM,159.191.139.254,Strongly Agree,Very Confident,Agree,Confident,Agree,Confident,Strongly Agree,Very Confident,Agree,Very Confident,Strongly Agree,Very Confident,Agree,Confident,Strongly Agree,Very Confident,Agree,Confident,Agree,Confident,Strongly Agree,Very Confident,Agree,Confident,Agree,Confident,Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Agree,Confident,Strongly Agree,Very Confident,Agree,Confident,Agree,Confident
11068371456,246623118,10/15/2019 06:49:34 PM,10/15/2019 06:53:38 PM,96.230.248.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068367246,246623118,10/15/2019 06:46:45 PM,10/15/2019 07:00:14 PM,76.218.110.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068332428,246623118,10/15/2019 06:31:57 PM,10/15/2019 06:43:30 PM,204.229.220.1,Neutral,Neutral,Agree,Confident,Agree,Confident,Neutral,Confident,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Confident,Neutral,Neutral,Neutral,Neutral,Neutral,Confident,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Confident
11057871061,246624879,10/10/2019 09:51:19 PM,10/10/2019 10:19:31 PM,73.186.40.172,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Neutral,Strongly Agree,Somewhat confident,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Confident,Strongly Agree,Neutral,Strongly Agree,Very Confident,Strongly Agree,Confident,Strongly Agree,Neutral,Strongly Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Confident
11050362798,246624879,10/08/2019 09:29:20 AM,10/08/2019 09:44:33 AM,168.122.7.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11048074402,246624879,10/07/2019 01:13:14 PM,10/07/2019 01:33:42 PM,24.218.18.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11046252537,246624879,10/06/2019 08:09:21 PM,10/06/2019 08:16:24 PM,24.147.132.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11043779882,246624879,10/04/2019 08:00:46 PM,10/04/2019 08:07:43 PM,71.232.215.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11043671252,246624879,10/04/2019 06:41:48 PM,10/04/2019 06:46:27 PM,24.5.185.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11043584119,246624879,10/04/2019 05:32:17 PM,10/04/2019 06:07:03 PM,47.14.169.10,Neutral,Not confident at all,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Somewhat confident,Strongly Agree,Very Confident,Neutral,Not confident at all,Neutral,Not confident at all,Strongly Agree,Very Confident,Neutral,Not confident at all,Strongly Agree,Somewhat confident,Neutral,Not confident at all,Strongly Agree,Confident,Strongly Agree,Very Confident,I'm not sure what this means.,I'm not sure what this means.,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident
11043507814,246624879,10/04/2019 05:07:16 PM,10/04/2019 05:08:14 PM,209.6.130.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11043491729,246624879,10/04/2019 04:58:27 PM,10/04/2019 05:15:12 PM,66.30.5.252,Strongly Agree,Confident,Agree,Confident,Strongly Agree,Confident,Agree,Confident,Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Agree,Confident,Agree,Confident,Agree,Neutral,Agree,Neutral,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Confident,Agree,Confident,Agree,Confident,Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident
11043465207,246624879,10/04/2019 04:34:25 PM,10/04/2019 04:51:25 PM,66.30.48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11043438095,246624879,10/04/2019 04:32:28 PM,10/04/2019 04:51:20 PM,65.96.25.139,Agree,,Strongly Agree,,Agree,,Neutral,,Agree,,Agree,,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,Neutral,,Neutral,,Agree,,Agree,,Neutral,,Neutral,,Strongly Agree,,Neutral,,Neutral,
11043418691,246624879,10/04/2019 04:16:50 PM,10/04/2019 04:24:37 PM,107.77.226.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11043412794,246624879,10/04/2019 04:18:53 PM,10/04/2019 04:41:33 PM,174.192.1.240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11037242500,246624879,10/02/2019 02:06:59 PM,10/02/2019 02:43:07 PM,173.244.1.195,Strongly Agree,Very Confident,Strongly Agree,Somewhat confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Somewhat confident,Strongly Agree,Confident,Strongly Agree,Somewhat confident,Strongly Agree,Somewhat confident,Strongly Agree,Somewhat confident,Strongly Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Confident,Strongly Agree,Somewhat confident
11031459921,246624879,09/30/2019 02:40:20 PM,09/30/2019 02:50:28 PM,216.163.220.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11020481679,246624879,09/25/2019 09:53:07 PM,09/25/2019 10:40:39 PM,73.119.5.71,Strongly Agree,Very Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Confident,Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Very Confident,Strongly Agree,Confident
11020477275,246624879,09/25/2019 09:52:14 PM,09/26/2019 11:10:44 AM,71.10.233.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11020070724,246624879,09/25/2019 06:08:42 PM,09/25/2019 06:31:41 PM,108.20.70.20,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,
11019897999,246624879,09/25/2019 04:53:22 PM,09/25/2019 05:00:19 PM,146.115.126.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10933170399,243318611,2019-08-19 01:35:49,2019-08-19 11:40:21,108.31.173.26,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Confident,Strongly Agree,Confident,Agree,Neutral,Agree,Somewhat confident,Strongly Agree,Somewhat confident,Strongly Agree,Somewhat confident,Strongly Agree,Somewhat confident,Strongly Agree,Somewhat confident,Strongly Agree,Confident,Strongly Agree,Neutral,Strongly Agree,Somewhat confident,Neutral,Neutral,Strongly Agree,Somewhat confident,Neutral,Neutral,Agree,Somewhat confident,Strongly Agree,Confident,Strongly Agree,Confident,Neutral,Neutral
10932982058,243318611,2019-08-18 22:01:47,2019-08-18 22:18:09,68.134.212.72,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,
10932650008,243318611,2019-08-18 15:45:26,2019-08-18 16:08:34,108.28.201.114,Strongly Agree,Somewhat confident,Agree,Somewhat confident,Agree,Somewhat confident,Agree,Somewhat confident,Agree,Somewhat confident,Agree,Somewhat confident,Neutral,Neutral,Agree,Somewhat confident,Neutral,Neutral,Agree,Somewhat confident,Agree,Somewhat confident,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Somewhat confident,Agree,Somewhat confident,Agree,Somewhat confident,Agree,Somewhat confident,Neutral,Neutral,Neutral,Neutral
10932155246,243318611,2019-08-18 02:53:35,2019-08-18 03:10:38,75.187.78.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10932150400,243318611,2019-08-18 02:44:23,2019-08-18 03:34:28,71.238.116.23,Strongly Agree,Confident,Neutral,Somewhat confident,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Somewhat confident,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat confident,Neutral,I'm not sure what this means.,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat confident
10932130179,243318611,2019-08-18 02:09:55,2019-08-18 02:51:17,73.240.120.91,Strongly Agree,Confident,Strongly Agree,Somewhat confident,Strongly Agree,Somewhat confident,Agree,Somewhat confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Not confident at all,Strongly Agree,Somewhat confident,Strongly Agree,Somewhat confident,Agree,Not confident at all,Strongly Agree,Confident,Agree,Somewhat confident,Strongly Agree,Very Confident,Strongly Agree,Confident,Strongly Agree,Confident,Neutral,Neutral,Neutral,Neutral,Agree,Confident,Strongly Agree,Confident,Strongly Agree,Not confident at all
